,text,created,statusSource,screenName,retweetCount,isRetweet
26,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mukeshrai881,12,TRUE
27,"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",11/23/2016 18:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mrx565,20,TRUE
28,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:32,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",iMirzaG,12,TRUE
29,"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",11/23/2016 18:32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PontiFukEx,20,TRUE
30,RT @AAPVind: #Demonetization Is Disaster!  @naam_pk,11/23/2016 18:31,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",sehgal_indian,7,TRUE
31,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,11/23/2016 18:31,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BoscoUnchained,66,TRUE
32,"RT @Gadgets360: After the #demonetization, searches about #NarendraModi's app are trending on app stores https://t.co/ZetKRqqClX",11/23/2016 18:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meghnabasu2,11,TRUE
33,"RT @_avenu: Teacher: is there anybody who is absent today?
(No response )
Teacher says 100% attendance 
#Demonetization #App #survey
@DonMu…",11/23/2016 18:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",trollabhakt,6,TRUE
34,"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",11/23/2016 18:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",manni_1986,76,TRUE
35,RT @mayankjain100: #demonetization is Communal and Black Money is Secular...,11/23/2016 18:30,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GHOSTBUSTOR,1,TRUE
36,LOL. #Demonetization Effect. https://t.co/aA5lfy9ALG,11/23/2016 18:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sradeep_d,0,FALSE
37,"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",11/23/2016 18:27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kvQuote,20,TRUE
38,RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/TPYJgXFBY8,11/23/2016 18:27,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",AnandMiishra,0,FALSE
39,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CineMaakiKasam,95,TRUE
40,@arunjaitley @narendramodi Lrnd frm a frnd-Banks r asking employees to comeback 2sales &amp; BAU Operations #Demonetization,11/23/2016 18:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",navsinfosec,0,FALSE
41,RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,11/23/2016 18:26,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RN_BJP,41,TRUE
42,"RT @roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact on poor/trade.

https://t…",11/23/2016 18:26,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mukeshrai881,9,TRUE
43,"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",11/23/2016 18:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",prateek1013,76,TRUE
44,@dineshgrao you have 12.5 k followers yet you are not getting enough likes for your tweets against #demonetization. You need to introspect.,11/23/2016 18:25,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShankareGowdaM,0,FALSE
45,"#DeMonetization Effect : Visa, Master Card, Amex all Accepted :) https://t.co/ozDwcPKjaI",11/23/2016 18:25,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",zailetblog,0,FALSE
46,"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",11/23/2016 18:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",draksbond,76,TRUE
47,"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",11/23/2016 18:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kmvatreni1,59,TRUE
48,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:24,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",PramodKr7227,12,TRUE
49,RT @rohanmlw: #demonetization eye opener video bt i doubt as few jurnos don't want2 hear +ve of @narendramodi @sardesairajdeep @ravishndtv…,11/23/2016 18:24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",neelmani1980,4,TRUE
50,RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,11/23/2016 18:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",smsivanesan,30,TRUE
51,RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?…,11/23/2016 18:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JOYEEE990,1,TRUE
52,RT @Punitspeaks: Survey result so far by @PMOIndia on #Demonetization. 5 lakh response in 24 hrs. 90% supports note ban. #MeraDeshBadalRaha…,11/23/2016 18:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",n2r3ndr2,30,TRUE
53,"RT @DrGPradhan: 8

This tweet of @minimathur BIBI explains why she is having a prob with #demonetization ..In first part she says she can't…",11/23/2016 18:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aakuraj,76,TRUE
54,#demonetization is Communal and Black Money is Secular...,11/23/2016 18:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mayankjain100,1,FALSE
55,"RT @kapil_kausik: #Doltiwal I mean #JaiChandKejriwal is ""hurt"" by #Demonetization as the same has rendered USELESS <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> ""acquired funds"" No wo…",11/23/2016 18:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ceradevcera,20,TRUE
56,RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal…,11/23/2016 18:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JOYEEE990,1,TRUE
57,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",twety_swety,95,TRUE
58,"Section 144 issued by District Magistrate, #Indore prohibiting #socialmedia posts on #demonetization, Why??
#citizen https://t.co/5Tn7aNBTsi",11/23/2016 18:23,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ESchool_India,0,FALSE
59,RT @pGurus1: CPI-M opposes Co-op Banks in West Bengal but supports them in Kerala! Y Pawar U-turned on #Demonetization https://t.co/ThzaV7r…,11/23/2016 18:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,29,TRUE
60,RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/vCWWjxu0wb,11/23/2016 18:22,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>",pratyushmayank,0,FALSE
61,"RT @ZeeNewsSports: #Demonetization: @harbhajan_singh gives hilarious 'shagun' suggestion to those struggling with wedding season

https://t…",11/23/2016 18:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",monojsaha6,15,TRUE
62,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,11/23/2016 18:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NV_Handle,637,TRUE
63,"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",11/23/2016 18:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,30,TRUE
64,"RT @pGurus1: #Demonetization move of Modi; Who is supporting it, who is opposing it and why? A complete coverage of all parties - https://t…",11/23/2016 18:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InnovativeHindu,19,TRUE
65,RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,11/23/2016 18:21,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Minoritygender,120,TRUE
66,"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",11/23/2016 18:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BsBaban,270,TRUE
67,"Effects of sluggish economy, negative IIP, #Demonetization ! Does the Great Leader even bother except continued dra… https://t.co/DuvbMtEi1Y",11/23/2016 18:19,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sventure007,0,FALSE
68,RT @kanimozhi: Ts is exactly what Pappu &amp; opposition has done to themselves by opposing #Demonetization Now none can stop Modi bandwagon ti…,11/23/2016 18:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",US70707,41,TRUE
69,RT roshankar: Harvard's Larry Summers calls #Demonetization as poor policy with disproportionate negative impact o… https://t.co/5J6jZXbY81,11/23/2016 18:19,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",UnRealMohit,0,FALSE
